106,0,0,0
103,0,0,0
102,0,0,0
104,0,0,0
125,0,0,0
118,0,0,0
105,0,0,0
140,0,0,0
125,0,0,0
124,0,0,0
119,0,0,0
104,0,0,0
96,0,0,0
94,0,0,0
97,0,0,0
96,0,0,0
97,0,0,0
111,0,0,0
108,0,0,0
128,0,0,0
150,0,0,0
176,0,0,0
160,0,0,0
126,0,0,0
124,0,0,0
119,0,0,0
147,0,0,0
132,0,0,0
148,0,0,0
149,0,0,0
169,0,0,0
138,0,0,0
148,0,0,0
121,0,0,0
115,0,0,0
110,0,0,0
108,0,0,0
108,0,0,0
129,0,0,0
120,0,0,0
106,0,0,0
141,0,0,0
126,0,0,0
125,0,0,0
157,0,0,0
146,0,0,0
115,0,0,0
116,0,0,0
113,0,0,0
142,0,0,0
129,0,0,0
145,0,0,0
147,0,0,0
168,0,0,0
137,0,0,0
147,0,0,0
148,0,0,0
135,0,0,0
149,0,0,0
166,0,0,0
187,0,0,0
169,0,0,0
