0,,,
"SADD R0, R0, 7",NOP,NOP,"SADD R0, R0, 7"
NOP,NOP,NOP,NOP
NOP,NOP,NOP,NOP
NOP,NOP,NOP,"SADD R1, R1, 6"
1,,,
"SADD R1, R1, 6",NOP,NOP,"SMUL R0, 1, R0"
NOP,NOP,NOP,NOP
NOP,NOP,NOP,NOP
NOP,NOP,NOP,"SADD R1, R1, 6"
2,,,
"SADD R1, R1, 6",NOP,NOP,"SADD R1, R1, 6"
NOP,NOP,NOP,NOP
NOP,NOP,NOP,NOP
NOP,NOP,NOP,"SADD R1, R1, 6"
3,,,
"SADD R1, R1, 6",NOP,NOP,"SMUL R0, R1, R0"
NOP,NOP,NOP,NOP
NOP,NOP,NOP,NOP
NOP,NOP,NOP,"SADD R1, R1, 6"
4,,,
"SADD R1, R1, 6",NOP,NOP,"SADD R0, R0, 7"
NOP,NOP,NOP,NOP
NOP,NOP,NOP,NOP
NOP,NOP,NOP,"SADD R1, R1, 6"
5,,,
"SADD R1, R1, 6",NOP,NOP,"SMUL R0, R1, R0"
NOP,NOP,NOP,NOP
NOP,NOP,NOP,NOP
NOP,NOP,NOP,"SADD R1, R1, 6"
6,,,
"SADD R1, R1, 6",NOP,NOP,"SADD R0, R0, 7"
NOP,NOP,NOP,NOP
NOP,NOP,NOP,NOP
NOP,NOP,NOP,"SADD R1, R1, 6"
7,,,
"SADD R1, R1, 6",NOP,NOP,"SMUL R0, R1, R0"
NOP,NOP,NOP,NOP
NOP,NOP,NOP,NOP
NOP,NOP,NOP,"SADD R1, R1, 6"
8,,,
"SADD R1, R1, 6",NOP,NOP,"SADD R0, R0, 7"
NOP,NOP,NOP,NOP
NOP,NOP,NOP,NOP
NOP,NOP,NOP,"SADD R1, R1, 6"
9,,,
"SADD R1, R1, 6",NOP,NOP,"SMUL R0, R1, R0"
NOP,NOP,NOP,NOP
NOP,NOP,NOP,NOP
NOP,NOP,NOP,"SADD R1, R1, 6"
10,,,
"SADD R1, R1, 6",NOP,NOP,"SADD R0, R0, 7"
NOP,NOP,NOP,NOP
NOP,NOP,NOP,NOP
NOP,NOP,NOP,"SADD R1, R1, 6"
11,,,
"SADD R1, R1, 6",NOP,NOP,"SMUL R0, R1, R0"
NOP,NOP,NOP,NOP
NOP,NOP,NOP,NOP
NOP,NOP,NOP,"SADD R1, R1, 6"
12,,,
"SADD R1, R1, 6",NOP,NOP,"SADD R0, R0, 7"
NOP,NOP,NOP,NOP
NOP,NOP,NOP,NOP
NOP,NOP,NOP,"SADD R1, R1, 6"
13,,,
"SADD R1, R1, 6",NOP,NOP,"SMUL R0, R1, R0"
NOP,NOP,NOP,NOP
NOP,NOP,NOP,NOP
NOP,NOP,NOP,"SADD R1, R1, 6"
14,,,
"SADD R1, R1, 6",NOP,NOP,"SMUL R0, R1, R0"
NOP,NOP,NOP,NOP
NOP,NOP,NOP,NOP
NOP,NOP,NOP,"SADD R1, R1, 6"
15,,,
"SMUL R0, R1, R0",NOP,NOP,"SADD R0, R0, 7"
NOP,NOP,NOP,NOP
NOP,NOP,NOP,NOP
NOP,NOP,NOP,"SADD R1, R1, 6"
16,,,
"SMUL R0, R1, R0",NOP,NOP,"SMUL R0, R1, R0"
NOP,NOP,NOP,NOP
NOP,NOP,NOP,NOP
NOP,NOP,NOP,"SADD R1, R1, 6"
17,,,
"SMUL R0, R1, R0",NOP,NOP,"SADD R0, R0, 7"
NOP,NOP,NOP,NOP
NOP,NOP,NOP,NOP
NOP,NOP,NOP,"SADD R1, R1, 6"
18,,,
"SMUL R0, R1, R0",NOP,NOP,"SMUL R0, R1, R0"
NOP,NOP,NOP,NOP
NOP,NOP,NOP,NOP
NOP,NOP,NOP,"SADD R1, R1, 6"
19,,,
